               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.027439,            0.029188,            0.026412,             0.49138,             0.85949,             0.66611,             0.47311,            0.026259,              0.0285,            0.026292,          0.00055819,          0.00055819,          0.00055819
                  82,            0.027619,            0.028324,            0.026431,             0.49608,             0.85257,             0.66326,             0.47277,            0.026272,            0.028464,            0.026454,          0.00054987,          0.00054987,          0.00054987
                  83,            0.027407,            0.029788,            0.026079,              0.4775,             0.87739,             0.66907,             0.47287,            0.026432,            0.028512,            0.026033,          0.00054157,          0.00054157,          0.00054157
                  84,            0.027597,            0.029482,            0.025907,             0.50203,             0.86333,             0.66099,             0.46914,            0.026446,              0.0287,            0.026214,          0.00053329,          0.00053329,          0.00053329
                  85,            0.027166,            0.028769,            0.026186,             0.49015,             0.84845,             0.66857,             0.47032,            0.026707,            0.028568,            0.026002,          0.00052505,          0.00052505,          0.00052505
                  86,            0.026792,            0.029246,            0.025784,             0.51451,             0.85721,             0.66633,             0.47331,            0.026599,            0.028696,            0.026073,          0.00051684,          0.00051684,          0.00051684
                  87,            0.026563,            0.028328,            0.025931,             0.50709,              0.8509,             0.66821,             0.46747,            0.026836,            0.028611,            0.025786,          0.00050866,          0.00050866,          0.00050866
                  88,            0.026721,            0.029564,            0.025595,             0.51296,             0.85061,             0.66621,             0.47523,             0.02628,             0.02839,            0.026129,          0.00050052,          0.00050052,          0.00050052
                  89,            0.027152,            0.028754,            0.025415,             0.51562,             0.86343,             0.66493,             0.47203,            0.026439,            0.028514,            0.026035,          0.00049243,          0.00049243,          0.00049243
                  90,            0.026823,            0.028159,            0.025459,             0.51901,             0.86223,             0.66585,             0.47079,             0.02652,            0.028264,            0.026058,          0.00048439,          0.00048439,          0.00048439
                  91,            0.026364,            0.028038,            0.025588,             0.51686,             0.85999,             0.66083,             0.46992,            0.026241,             0.02812,            0.026184,          0.00047639,          0.00047639,          0.00047639
                  92,            0.027053,            0.028383,            0.025326,             0.50803,             0.88643,             0.66907,                0.47,            0.026424,            0.028183,            0.025653,          0.00046845,          0.00046845,          0.00046845
                  93,            0.026367,            0.028399,            0.025581,             0.51706,             0.86223,             0.66959,             0.47395,             0.02602,            0.027883,            0.025625,          0.00046057,          0.00046057,          0.00046057
                  94,            0.026275,            0.028589,             0.02534,             0.51796,             0.86889,             0.66694,             0.47144,            0.026147,            0.027958,            0.025945,          0.00045275,          0.00045275,          0.00045275
                  95,            0.026692,            0.028265,            0.025162,             0.52282,             0.85854,              0.6674,             0.47535,            0.025917,            0.027894,            0.025912,          0.00044499,          0.00044499,          0.00044499
                  96,            0.026267,            0.028403,            0.025284,             0.51981,             0.87947,             0.67214,             0.47623,            0.026081,            0.027847,            0.025422,          0.00043731,          0.00043731,          0.00043731
                  97,            0.026124,            0.028065,            0.025624,             0.52626,             0.86452,              0.6653,              0.4693,            0.026335,            0.028169,            0.025649,          0.00042969,          0.00042969,          0.00042969
                  98,             0.02602,            0.028329,            0.025354,             0.52829,             0.86303,             0.67157,              0.4742,            0.026149,            0.027878,            0.025312,          0.00042215,          0.00042215,          0.00042215
                  99,            0.026087,            0.028187,            0.024883,             0.51863,             0.86994,             0.66736,             0.46469,            0.026828,            0.028264,            0.025329,          0.00041468,          0.00041468,          0.00041468
                 100,            0.025956,             0.02868,            0.025039,             0.52852,             0.87549,             0.66824,              0.4731,            0.026247,            0.028066,             0.02557,           0.0004073,           0.0004073,           0.0004073
                 101,            0.025814,            0.028154,            0.024702,             0.53385,             0.85369,             0.66788,             0.47386,            0.026217,            0.028035,            0.025616,              0.0004,              0.0004,              0.0004
                 102,            0.025889,            0.028192,            0.024884,             0.52308,             0.85171,             0.67282,              0.4751,            0.026339,            0.028069,            0.025066,          0.00039279,          0.00039279,          0.00039279
                 103,            0.026262,            0.028277,            0.024674,             0.52693,             0.85613,             0.66799,             0.47539,            0.026224,            0.028053,            0.025078,          0.00038567,          0.00038567,          0.00038567
                 104,            0.025666,            0.028456,            0.024447,             0.52764,             0.88774,              0.6683,             0.47376,            0.026161,             0.02786,            0.025124,          0.00037864,          0.00037864,          0.00037864
                 105,            0.025706,             0.02835,             0.02469,             0.53474,              0.8517,             0.67136,             0.47628,            0.026113,            0.027733,            0.025308,          0.00037171,          0.00037171,          0.00037171
                 106,            0.026044,            0.028225,            0.024412,             0.52725,             0.87684,              0.6707,             0.47586,            0.026184,            0.027917,            0.025093,          0.00036489,          0.00036489,          0.00036489
                 107,            0.025508,            0.028123,            0.024373,             0.53349,             0.87891,             0.67294,             0.47781,            0.026148,            0.027851,            0.025085,          0.00035816,          0.00035816,          0.00035816
                 108,            0.025923,            0.027836,            0.024636,             0.53053,             0.86434,             0.67571,             0.47573,            0.026305,            0.027849,            0.024749,          0.00035154,          0.00035154,          0.00035154
                 109,             0.02543,            0.027635,            0.024447,             0.53215,             0.88093,             0.66981,             0.47547,            0.026165,             0.02783,            0.025041,          0.00034503,          0.00034503,          0.00034503
                 110,            0.025313,             0.02757,            0.024304,             0.52785,             0.88508,             0.66426,             0.47008,            0.026222,            0.027895,             0.02502,          0.00033863,          0.00033863,          0.00033863
                 111,            0.025498,             0.02815,            0.024253,             0.53208,             0.86966,             0.67083,             0.47342,            0.026293,            0.027756,            0.024887,          0.00033235,          0.00033235,          0.00033235
                 112,            0.025304,            0.027815,            0.024442,             0.53644,             0.88792,             0.67215,             0.47012,            0.026345,             0.02773,            0.024928,          0.00032618,          0.00032618,          0.00032618
                 113,            0.025259,              0.0279,            0.024279,             0.53241,              0.8821,             0.66832,             0.47262,             0.02604,            0.027697,            0.025003,          0.00032013,          0.00032013,          0.00032013
                 114,            0.025636,            0.028487,            0.024132,             0.53504,             0.88895,             0.67258,             0.47047,              0.0264,            0.027761,            0.024916,          0.00031421,          0.00031421,          0.00031421
                 115,            0.025398,            0.027699,            0.023738,              0.5359,             0.88683,             0.67139,             0.47489,            0.026102,            0.027679,            0.024931,          0.00030841,          0.00030841,          0.00030841
                 116,            0.025561,            0.028497,            0.023779,             0.54647,             0.85922,             0.67592,             0.47552,            0.026098,            0.027547,            0.024811,          0.00030274,          0.00030274,          0.00030274
                 117,            0.024964,             0.02759,            0.023788,             0.54254,             0.85066,             0.67497,             0.47526,            0.026198,            0.027698,              0.0246,           0.0002972,           0.0002972,           0.0002972
                 118,            0.025418,            0.027973,            0.023927,             0.53338,             0.88066,             0.66574,             0.47008,            0.026303,            0.027894,            0.025071,          0.00029179,          0.00029179,          0.00029179
                 119,            0.025199,            0.028008,             0.02354,             0.53764,              0.8904,             0.66816,             0.47343,            0.026043,            0.027611,            0.025098,          0.00028652,          0.00028652,          0.00028652
                 120,            0.025243,            0.027443,            0.023619,             0.53331,             0.87795,             0.66874,             0.47409,            0.025922,            0.027544,            0.024708,          0.00028139,          0.00028139,          0.00028139
                 121,            0.024987,            0.027245,            0.023618,             0.54456,             0.85504,             0.67139,             0.47472,            0.026323,            0.027899,            0.024827,          0.00027639,          0.00027639,          0.00027639
                 122,            0.025179,            0.027485,            0.023661,             0.53696,             0.87132,             0.66903,             0.46999,             0.02634,            0.027781,            0.025092,          0.00027154,          0.00027154,          0.00027154
                 123,            0.024844,            0.027482,            0.023686,             0.53741,             0.88042,             0.67427,             0.47511,            0.026234,            0.027755,            0.024667,          0.00026683,          0.00026683,          0.00026683
                 124,            0.025217,            0.027336,            0.023701,             0.54862,             0.86012,             0.67355,             0.47516,            0.026208,            0.027673,            0.024798,          0.00026227,          0.00026227,          0.00026227
